;id;scientific.name;accepted.name;family;taxon.rank;taxon.status;search.str;threat.status.cnc;threat.status.mma;threat.status.mma2022;life.form;habitat;vegetation.type;vernacular.name;occurrence;establishment;domain;endemism
24;29140;Acalypha claussenii (Turcz.) Mull.Arg.;NA;Euphorbiaceae;species;accepted;Acalypha claussenii;NA;NA;NA;Subshrub;Terrestrial;Campo Limpo|Cerrado (lato sensu);NA;BR-GO|BR-MG|BR-PR|BR-SP;native;Cerrado;Endemic
26;25456;Acalypha communis Mull.Arg.;NA;Euphorbiaceae;species;accepted;Acalypha communis;NA;NA;NA;Shrub|Herb|Subshrub;Terrestrial;Caatinga (stricto sensu)|Campo Limpo|Cerrado (lato sensu)|Floresta Ciliar ou Galeria|Floresta Estacional Decidual|Vegetacao Sobre Afloramentos Rochosos;NA;BR-DF|BR-GO|BR-MG|BR-MS|BR-MT|BR-PR|BR-RS|BR-SC|BR-SP|BR-TO;native;Caatinga|Cerrado|Mata Atlantica|Pampa|Pantanal;Non Endemic
33;10258;Accara elegans (DC.) Landrum;NA;Myrtaceae;species;accepted;Accara elegans;EN;EN;EN;Shrub|Tree|Subshrub;Terrestrial;Campo rupestre;NA;BR-MG;native;Cerrado|Mata Atlantica;Endemic
34;613447;Achillea millefolium L.;NA;Asteraceae;species;accepted;Achillea millefolium;NA;NA;NA;Herb|Subshrub;Terrestrial;Area Antropica|Campo de Altitude;Erva-dos-carpinteiros/PORTUGUES/NA | Feiteirinha/PORTUGUES/NA | Erva-de-cortaduras/PORTUGUES/NA | Erva-dos-carreteiros/PORTUGUES/NA | Novalgina/PORTUGUES/NA | Pronto-alivio/PORTUGUES/NA | Erva-dos-militares/PORTUGUES/NA | Erva-dos-soldados/PORTUGUES/NA | Erva-do-bom-deus/PORTUGUES/NA | Prazer-das-damas/PORTUGUES/NA | Erva-dos-golpes/PORTUGUES/NA | Milefolio/PORTUGUES/NA | Sanguinaria/PORTUGUES/NA | Nariz-sangrento/PORTUGUES/NA | Milefolio-em-rama/PORTUGUES/NA | Mil-folhas/PORTUGUES/NA;BR-ES|BR-MG|BR-PR|BR-RJ|BR-RS|BR-SC|BR-SP;cultivated;Cerrado|Mata Atlantica|Pampa;Non Endemic
35;102955;Achyrocline alata (Kunth) DC.;NA;Asteraceae;species;accepted;Achyrocline alata;NA;NA;NA;Herb;Terrestrial;Area Antropica|Campo de Altitude|Campo Limpo|Campo rupestre|Cerrado (lato sensu);macela/PORTUGUES/sul, sudeste | macela-do-brejo/PORTUGUES/sul;BR-BA|BR-DF|BR-GO|BR-MG|BR-PR|BR-RJ|BR-RS|BR-SC|BR-SP;native;Caatinga|Cerrado|Mata Atlantica|Pampa;Non Endemic
36;108819;Achyrocline flaccida (Weinm.) DC.;NA;Asteraceae;species;accepted;Achyrocline flaccida;NA;NA;NA;Herb;Terrestrial;Campo de Altitude|Campo Limpo|Floresta Estacional Semidecidual;macela/PORTUGUES/sul | marcela/PORTUGUES/sul;BR-RS|BR-SC;native;Mata Atlantica|Pampa;Non Endemic
37;108826;Achyrocline satureioides (Lam.) DC.;NA;Asteraceae;species;accepted;Achyrocline satureioides;NA;NA;NA;Herb;Terrestrial;Area Antropica|Campo de Altitude|Campo Limpo|Campo rupestre|Restinga|Vegetacao Sobre Afloramentos Rochosos;NA;BR-BA|BR-ES|BR-MG|BR-PR|BR-RJ|BR-RS|BR-SC|BR-SP;native;Cerrado|Mata Atlantica|Pampa;Non Endemic
38;108829;Achyrocline vargasiana DC.;NA;Asteraceae;species;accepted;Achyrocline vargasiana;NA;NA;NA;Herb;Terrestrial;Area Antropica|Campo de Altitude|Campo rupestre|Cerrado (lato sensu)|Floresta Ombrofila Mista;marcela/PORTUGUES/Sudeste | vira-vira/ESPANHOL/Venezuela, Norte do Brasil;BR-AC|BR-AM|BR-BA|BR-CE|BR-DF|BR-GO|BR-MG|BR-PB|BR-PE|BR-PR|BR-RJ|BR-RR|BR-SP;native;Amazonia|Caatinga|Cerrado|Mata Atlantica;Non Endemic
39;108833;Achyrocline vauthieriana DC.;NA;Asteraceae;species;accepted;Achyrocline vauthieriana;NA;NA;NA;Herb;Terrestrial;Campo de Varzea|Campo rupestre|Cerrado (lato sensu);NA;BR-BA|BR-DF|BR-GO|BR-MG|BR-SP;native;Cerrado|Mata Atlantica;Non Endemic
59;11044;Acianthera prolifera (Herb. ex Lindl.) Pridgeon & M.W.Chase;NA;Orchidaceae;species;accepted;Acianthera prolifera;NA;NA;NA;Herb;Rupicolous;Campo rupestre|Vegetacao Sobre Afloramentos Rochosos;NA;BR-BA|BR-DF|BR-ES|BR-MG|BR-PE|BR-RJ|BR-SP;native;Caatinga|Cerrado|Mata Atlantica;Non Endemic
68;26777;Acilepidopsis echitifolia (Mart. ex DC.) H.Rob.;NA;Asteraceae;species;accepted;Acilepidopsis echitifolia;NA;NA;NA;Shrub|Herb|Subshrub;Terrestrial;Campinarana|Campo Limpo|Cerrado (lato sensu)|Vegetacao Aquatica;NA;BR-BA|BR-DF|BR-GO|BR-MG|BR-MS|BR-MT|BR-PA|BR-PR|BR-SC|BR-SP;native;Amazonia|Cerrado|Mata Atlantica;Non Endemic
69;25779;Acisanthera alsinaefolia (Mart. & Schrank ex DC.) Triana;NA;Melastomataceae;species;accepted;Acisanthera alsinaefolia;NA;NA;NA;Shrub|Subshrub;Terrestrial;Area Antropica|Campo Limpo|Campo rupestre|Cerrado (lato sensu);NA;BR-GO|BR-MG|BR-MS|BR-PR|BR-RJ|BR-RS|BR-SC|BR-SE|BR-SP;native;Cerrado|Mata Atlantica|Pampa;Non Endemic
74;19606;Acisanthera variabilis (DC.) Triana;NA;Melastomataceae;species;accepted;Acisanthera variabilis;NA;NA;NA;Herb|Subshrub;Terrestrial;Campo rupestre|Floresta Estacional Semidecidual;NA;BR-AM|BR-BA|BR-DF|BR-ES|BR-GO|BR-MG|BR-MS|BR-MT|BR-PB|BR-PI|BR-PR|BR-RJ|BR-SC|BR-SP;native;Cerrado|Mata Atlantica;Non Endemic
75;26778;Acmella bellidioides (Sm.) R.K.Jansen;NA;Asteraceae;species;accepted;Acmella bellidioides;NA;NA;NA;Herb;Terrestrial;Campo de Altitude|Campo Limpo|Cerrado (lato sensu)|Restinga;NA;BR-BA|BR-GO|BR-MG|BR-MT|BR-PR|BR-RS|BR-SC|BR-SP;native;Cerrado|Mata Atlantica|Pampa;Non Endemic
78;26779;Acmella leptophylla (DC.) R.K.Jansen;NA;Asteraceae;species;accepted;Acmella leptophylla;NA;NA;NA;Herb;Terrestrial;Area Antropica|Campo Limpo|Cerrado (lato sensu)|Restinga;NA;BR-MG|BR-MS|BR-MT|BR-PR|BR-RS;native;Cerrado|Mata Atlantica|Pampa|Pantanal;Non Endemic
